IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
44.230.181.79,80,443,true,PDX,North America,Portland,195,8.73
54.202.1.231,443,443,true,SEA,North America,Seattle,197,8.73
35.94.171.23,443,443,true,SEA,North America,Seattle,193,8.72
44.232.153.212,80,443,true,PDX,North America,Portland,208,8.72
99.83.181.188,443,443,true,IAD,North America,Ashburn,1,8.71
34.220.251.249,443,443,true,SEA,North America,Seattle,194,8.70
35.94.87.1,443,443,true,SEA,North America,Seattle,193,8.70
35.91.190.170,443,443,true,SEA,North America,Seattle,194,8.70
54.214.160.32,443,443,true,SEA,North America,Seattle,194,8.69
52.42.35.19,443,443,true,SEA,North America,Seattle,195,8.69
52.32.128.186,80,443,true,PDX,North America,Portland,197,8.69
52.26.73.7,80,443,true,PDX,North America,Portland,198,8.69
18.237.113.12,443,443,true,PDX,North America,Portland,199,8.68
35.87.172.149,443,443,true,SEA,North America,Seattle,198,8.68
52.38.177.200,80,443,true,PDX,North America,Portland,195,8.67
35.91.177.174,443,443,true,SEA,North America,Seattle,200,8.67
35.87.140.128,443,443,true,SEA,North America,Seattle,200,8.66
54.68.96.190,80,443,true,PDX,North America,Portland,196,8.66
34.221.204.226,443,443,true,SEA,North America,Seattle,196,8.65
34.215.146.55,443,443,true,SEA,North America,Seattle,196,8.64
16.171.20.21,8080,443,true,ARN,Europe,Stockholm,185,8.63
35.89.37.204,443,443,true,SEA,North America,Seattle,199,8.62
34.217.119.27,443,443,true,SEA,North America,Seattle,192,8.62
16.170.140.5,443,443,true,ARN,Europe,Stockholm,204,8.62
34.222.222.101,443,443,true,SEA,North America,Seattle,197,8.61
35.161.15.105,80,443,true,PDX,North America,Portland,193,8.61
34.221.173.192,443,443,true,SEA,North America,Seattle,192,8.61
35.90.207.142,443,443,true,SEA,North America,Seattle,197,8.60
16.16.114.102,8443,443,true,ARN,Europe,Stockholm,194,8.60
35.89.20.179,443,443,true,SEA,North America,Seattle,195,8.60
204.110.221.44,80,443,true,SEA,North America,Seattle,191,8.59
35.95.37.169,443,443,true,SEA,North America,Seattle,200,8.57
34.222.87.83,443,443,true,SEA,North America,Seattle,197,8.57
35.88.49.179,443,443,true,SEA,North America,Seattle,225,8.57
204.110.221.42,80,443,true,SEA,North America,Seattle,194,8.55
34.223.114.109,443,443,true,SEA,North America,Seattle,195,8.55
35.166.215.144,80,443,true,PDX,North America,Portland,192,8.55
204.110.220.120,80,443,true,PDX,North America,Portland,197,8.55
35.166.215.144,443,443,true,SEA,North America,Seattle,198,8.55
35.91.211.97,443,443,true,SEA,North America,Seattle,195,8.55
34.213.226.27,443,443,true,SEA,North America,Seattle,193,8.54
35.87.253.69,443,443,true,SEA,North America,Seattle,197,8.54
204.110.220.190,80,443,true,SEA,North America,Seattle,199,8.54
204.110.220.53,80,443,true,SEA,North America,Seattle,194,8.54
34.209.87.178,443,443,true,SEA,North America,Seattle,197,8.53
204.110.220.163,80,443,true,PDX,North America,Portland,192,8.52
204.110.220.14,80,443,true,PDX,North America,Portland,197,8.52
35.167.93.200,80,443,true,PDX,North America,Portland,199,8.51
35.94.193.160,80,443,true,PDX,North America,Portland,200,8.51
35.89.145.148,443,443,true,SEA,North America,Seattle,199,8.50
204.110.221.93,80,443,true,SEA,North America,Seattle,198,8.50
35.84.191.118,80,443,true,PDX,North America,Portland,198,8.50
204.110.220.155,80,443,true,PDX,North America,Portland,196,8.49
34.222.171.227,443,443,true,SEA,North America,Seattle,192,8.49
